                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7571,                 5.1216,                 1.7255,                0.33673,                   0.75,                0.27171,                0.10922,                 2.0707,                 4.5975,                 2.4682,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.8026,                 5.3318,                 1.9176,                      1,                0.71502,                0.82818,                 0.3561,                 1.8685,                 8.4922,                 2.1406,             0.00013931,             0.00013931,             0.00013931
                      3,                 1.5386,                   2.77,                 1.7169,                0.85497,                0.73859,                0.78987,                0.40686,                 1.1904,                 10.599,                 1.3881,             0.00021782,             0.00021782,             0.00021782
                      4,                 1.4607,                 2.4675,                 1.3777,                0.78958,                      1,                0.95389,                0.55931,                 1.1024,                 7.3234,                 1.3918,             0.00029554,             0.00029554,             0.00029554
                      5,                 1.2017,                 2.1298,                 1.2963,                0.44014,                  0.875,                0.53116,                0.24229,                 1.5224,                 12.366,                 1.8626,             0.00037248,             0.00037248,             0.00037248
                      6,                 1.2918,                 1.8597,                 1.5717,                0.58188,                  0.875,                  0.923,                 0.5178,                 1.3909,                 4.7199,                 1.7179,             0.00044862,             0.00044862,             0.00044862
                      7,                 1.0794,                 1.5638,                 1.2521,                 0.5988,                0.74662,                 0.5412,                0.30014,                 1.5784,                 3.3621,                 1.7056,             0.00052396,             0.00052396,             0.00052396
                      8,                 1.1733,                 1.4751,                 1.2867,                0.30048,                    0.5,                0.30789,                0.12515,                  1.462,                 3.7653,                 1.6468,             0.00059852,             0.00059852,             0.00059852
                      9,                 1.3461,                 1.4869,                 1.5896,                0.76682,                  0.875,                0.83975,                0.37799,                 1.6344,                 2.5245,                 1.8561,             0.00067228,             0.00067228,             0.00067228
                     10,                 1.1181,                 1.1676,                 1.3418,                0.97765,                  0.875,                  0.971,                0.46041,                 1.5734,                 2.8839,                 1.8761,             0.00074525,             0.00074525,             0.00074525
