epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8409,1.52202,4.04819,1.4802,0.00333,1,0.15129,0.087,1.6196,4.00157,1.39143,6e-05,6e-05,6e-05
2,24.7866,1.21994,3.63087,1.32845,0.00333,1,0.28388,0.16833,1.12386,3.62975,1.08609,0.00012614,0.00012614,0.00012614
3,37.5658,1.06194,3.37849,1.20536,0.00333,1,0.48125,0.25791,1.064,3.54649,1.04773,0.00017644,0.00017644,0.00017644
4,48.7832,0.97339,3.22679,1.04352,0.00333,1,0.72745,0.3964,1.10212,3.54677,1.03752,0.0002109,0.0002109,0.0002109
5,58.7444,1.07896,2.98279,1.10718,0.00333,1,0.82558,0.45459,1.01355,3.54992,1.06566,0.00022952,0.00022952,0.00022952
6,68.6681,1.01709,2.82841,1.09913,0.00333,1,0.84817,0.47035,1.0165,3.5704,1.05993,0.0002323,0.0002323,0.0002323
7,78.8691,0.95587,2.62822,1.00257,0.00333,1,0.86452,0.53541,1.02731,3.59722,1.05518,0.00021924,0.00021924,0.00021924
8,89.6572,0.95156,2.54785,1.11024,0.00333,1,0.86897,0.54011,1.02522,3.54266,1.04976,0.00019034,0.00019034,0.00019034
9,99.8437,0.88532,2.42255,1.01822,0.00333,1,0.87468,0.58579,1.02782,3.51438,1.04338,0.0001456,0.0001456,0.0001456
10,110.243,0.93686,2.32887,1.01587,0.00333,1,0.8823,0.56321,1.01319,3.50238,1.03778,8.502e-05,8.502e-05,8.502e-05
